nom,module,categorie,defaut,source,juin,doute,min,max,pas,unite,surface,regle-proposee,note-agent,verdict,commentaire
AmbientEngine.FrameProcessingFatalDelayMs,Deckle.Lighting.Ambient,tuning-constant,`5_000`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.CaptureEvents.cs:13,non,Same family as the incident delay; likely frozen-in-code.,,,,ms,aucune,1-robustesse,Fatal-error escalation delay on the frame path.,,
AmbientEngine.FrameProcessingGapCapMs,Deckle.Lighting.Ambient,tuning-constant,`250`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.CaptureEvents.cs:14,non,Telemetry/gap accounting cap; likely pure implementation.,,,,ms,aucune,1-robustesse,"Internal gap-accounting cap, pure implementation bound.",,
AmbientEngine.FrameProcessingIncidentDelayMs,Deckle.Lighting.Ambient,tuning-constant,`1_000`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.CaptureEvents.cs:12,non,Error/backoff timing on the frame path. Probably pure implementation; kept because it surfaces as recovery latency after a capture incident.,,,,ms,aucune,1-robustesse,Error/backoff timing governing recovery latency after a capture incident.,,
AmbientEngine.GroupPushHz,Deckle.Lighting.Ambient,tuning-constant,`15`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.cs:89,non,Directly perceivable (reactivity vs bridge load) and coupled to ScreenCaptureService ThrottleIntervalMs=66 in Deckle.Vision - moving one without the other desynchronises the pipeline.,,,,Hz,aucune,2-qualite,"Reactivity-vs-bridge-load tuning, coupled to the Vision capture cadence; quality dial frozen in code.",,
AmbientEngine.HeartbeatIntervalMs,Deckle.Lighting.Ambient,tuning-constant,`5000`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.cs:137,non,Log-cadence only; perceivable solely in the LogWindow. Borderline diagnostic exposable.,,,,ms,aucune,4-diagnostics,"Log heartbeat cadence, visible only in the LogWindow; observability.",,
AmbientEngine.MultiPushHz,Deckle.Lighting.Ambient,tuning-constant,`10`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.cs:97,non,At the Philips-documented ceiling (10 Hz per light); raising it risks bridge rate-limiting. Exposable only with a hard clamp.,,,,Hz,aucune,2-qualite,"Per-light push rate tuning pinned at the Philips-documented ceiling; quality/perf calibration, not a user knob.",,
AmbientEngine.OffThreshold,Deckle.Lighting.Ambient,tuning-constant,`8`,src/Deckle.Lighting.Ambient/Engine/AmbientEngine.cs:114,non,"Code comment explicitly plans to surface it in the Playground tuning panel (J5). Strong exposable candidate, unlisted in June.",,,,niveau Hue (0-254),aucune,2-qualite,Brightness cutoff heuristic the code plans to surface in the Playground tuning panel; quality tuning.,,
AmbientHueChangeAttributor.BrightnessTolerance,Deckle.Lighting.Ambient,tuning-constant,`1`,src/Deckle.Lighting.Ambient/Engine/AmbientHueChangeAttributor.cs:25,non,Echo-matching tolerance; likely a pure implementation constant.,,,,niveau Hue (delta),aucune,1-robustesse,Internal echo-matching tolerance for attribution correctness.,,
AmbientHueChangeAttributor.PendingEchoWindow,Deckle.Lighting.Ambient,tuning-constant,`TimeSpan.FromSeconds(10)`,src/Deckle.Lighting.Ambient/Engine/AmbientHueChangeAttributor.cs:23,non,Attribution heuristic (is this bridge update our own echo). Internal; perceivable only through diagnostic wording.,,,,s,aucune,1-robustesse,Internal attribution window; robustness of the own-echo heuristic.,,
AmbientHueChangeAttributor.XyTolerance,Deckle.Lighting.Ambient,tuning-constant,`0.002f`,src/Deckle.Lighting.Ambient/Engine/AmbientHueChangeAttributor.cs:26,non,Echo-matching tolerance; likely a pure implementation constant.,,,,CIE xy,aucune,1-robustesse,"Internal echo-matching tolerance, pure implementation constant.",,
AmbientModePresets.Ambient,Deckle.Lighting.Ambient,default-value,"`ExposureEv -0.5, SaturationBoost 0.7, MinBrightnessEnabled true, MinBrightness 40, Curve 0.18/0.55/0.40/0.90, SmoothingAlpha 0.08, ChangeThreshold 10`",src/Deckle.Lighting.Ambient/Engine/AmbientModePresets.cs:49-62,non,Missed by the sweep; a full tuning bundle behind one enum value.,,,,,aucune,2-qualite,"A calibrated tuning bundle behind one preset value; the preset choice is Mode, the bundle itself is quality tuning.",,
AmbientModePresets.Game,Deckle.Lighting.Ambient,default-value,"`ExposureEv 0.5, SaturationBoost 1.3, MinBrightnessEnabled true, MinBrightness 100, Curve 0.33/0.33/0.67/0.67, SmoothingAlpha 0.40, ChangeThreshold 6`",src/Deckle.Lighting.Ambient/Engine/AmbientModePresets.cs:21-33,non,"Missed by the sweep (assignments inside a switch, not initializers). This is the effective out-of-box tuning since Mode defaults to Game - it overrides several AmbientSettings POCO defaults.",,,,,aucune,2-qualite,"The effective out-of-box tuning bundle; calibration values, not individually user-facing.",,
AmbientModePresets.Movie,Deckle.Lighting.Ambient,default-value,"`ExposureEv 0.0, SaturationBoost 0.9, MinBrightnessEnabled true, MinBrightness 60, Curve 0.42/0.08/0.58/0.92, SmoothingAlpha 0.15, ChangeThreshold 8`",src/Deckle.Lighting.Ambient/Engine/AmbientModePresets.cs:35-47,non,Missed by the sweep; a full tuning bundle behind one enum value.,,,,,aucune,2-qualite,Calibrated tuning bundle behind the Movie preset; quality tuning.,,
AmbientSettings.BorderCells,Deckle.Lighting.Ambient,persisted-setting,`8`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:162,oui,"Only meaningful when BorderMode == Cells. Range [4,24] step 2, enforced by the slider. AmbientEngine.cs comment still calls the mode 'Pixels' while the enum member is Cells - stale wording.",4,24,2,count,playground,2-qualite,Capture-border sampling tuning already alive in the Playground; stays there.,,
AmbientSettings.BorderDepth,Deckle.Lighting.Ambient,persisted-setting,`0.33`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:146,oui,"Only meaningful when BorderMode == Share. Practical range [0.05, 0.5] clamped by the UI, not by the POCO. Slider is graduated in percent (5-50, step 5) and mapped /100 to the stored ratio.",5,50,5,%,playground,2-qualite,Border-share tuning already in the Playground; quality dial.,,
AmbientSettings.BorderMode,Deckle.Lighting.Ambient,persisted-setting,`BorderThicknessMode.Share`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:134,oui,,,,,,playground,2-qualite,Sampling-strategy tuning selector in the Playground; not a personal preference a user could reason about in one sentence.,,
AmbientSettings.BrightnessCurveX1,Deckle.Lighting.Ambient,persisted-setting,`0.42`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:228,oui,Game preset overrides to 0.33.,0,1,0.01,ratio,playground,2-qualite,Bezier-curve calibration edited jointly in the Playground curve editor; quality tuning.,,
AmbientSettings.BrightnessCurveX2,Deckle.Lighting.Ambient,persisted-setting,`1.00`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:235,oui,Game preset overrides to 0.67.,0,1,0.01,ratio,playground,2-qualite,Same joint bezier calibration; Playground quality tuning.,,
AmbientSettings.BrightnessCurveY1,Deckle.Lighting.Ambient,persisted-setting,`0.00`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:232,oui,Game preset overrides to 0.33.,0,1,0.01,ratio,playground,2-qualite,Same joint bezier calibration; Playground quality tuning.,,
AmbientSettings.BrightnessCurveY2,Deckle.Lighting.Ambient,persisted-setting,`1.00`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:238,oui,"Game preset overrides to 0.67. The four curve values are one exposable (a bezier editor), not four sliders - BrightnessCurveCanvas edits them jointly.",0,1,0.01,ratio,playground,2-qualite,Same joint bezier calibration; Playground quality tuning.,,
AmbientSettings.ChangeThreshold,Deckle.Lighting.Ambient,persisted-setting,`6`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:247,oui,,0,30,1,niveau Hue (delta),playground,2-qualite,Update-delta threshold tuning already in the Playground; quality dial.,,
AmbientSettings.Enabled,Deckle.Lighting.Ambient,persisted-setting,`false`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:20,oui,Comment says persisted but had no consumer until J3 wiring; verify the runtime toggle is now wired.,,,,,"settings,playground,tray",3-personnalisation,"The module on/off behavior toggle, surfaced in settings and tray; canonical personalization.",,
AmbientSettings.ExposureEv,Deckle.Lighting.Ambient,persisted-setting,`0.0`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:199,oui,POCO default 0.0 but the shipping Mode default (Game) preset sets 0.5 - the effective out-of-box value is 0.5.,-2.0,2.0,0.5,EV,playground,2-qualite,Exposure calibration living in the Playground; quality tuning under the preset system.,,
AmbientSettings.HueBridgeId,Deckle.Lighting.Ambient,persisted-setting,`null`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:39,oui,,,,,,aucune,3-personnalisation,"Bridge pairing identity, part of the per-user device selection block.",,
AmbientSettings.HueBridgeIp,Deckle.Lighting.Ambient,persisted-setting,`null`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:36,oui,"June lists the pairing trio (HueBridgeId/HueUsername/HueLastGroupId) as bespoke; HueBridgeIp is a fourth member of the same pairing block, not named explicitly.",,,,,"settings,playground",3-personnalisation,Local endpoint of the user's own bridge; device/endpoint personalization.,,
AmbientSettings.HueLastGroupId,Deckle.Lighting.Ambient,persisted-setting,`null`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:50,oui,,,,,,"settings,playground",3-personnalisation,Which entertainment group to drive; per-user device selection.,,
AmbientSettings.HueUsername,Deckle.Lighting.Ambient,persisted-setting,`null`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:45,oui,Credential-ish (CLIP API key). Written in clear JSON by design; the DTLS clientkey lives in the DPAPI vault instead.,,,,,aucune,3-personnalisation,"Pairing credential produced by the user's own bridge; belongs to the same personalization pairing block, though written by the flow rather than edited.",,
AmbientSettings.LightBrightness,Deckle.Lighting.Ambient,persisted-setting,"`new Dictionary<string, double>() (empty; missing key = 1.0)`",src/Deckle.Lighting.Ambient/AmbientSettings.cs:123,oui,"Sweep value truncated. Per-light implicit default 1.0 lives in consumer code, not in the POCO.",,,,ratio,aucune,3-personnalisation,"Per-lamp brightness scaling reflecting the user's room and taste; explainable in one sentence, so personalization wins over the tuning reading.",,
AmbientSettings.LightZones,Deckle.Lighting.Ambient,persisted-setting,"`new Dictionary<string, LightZone>() (empty)`",src/Deckle.Lighting.Ambient/AmbientSettings.cs:112,oui,Sweep value 'new()' truncated; real default is an empty dictionary keyed by opaque light id. June flags it non-composable (per-light dynamic grid).,,,,,playground,3-personnalisation,Per-lamp screen-zone assignment mapping the user's physical lamp layout; bespoke device configuration.,,
AmbientSettings.MinBrightness,Deckle.Lighting.Ambient,persisted-setting,`180`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:221,oui,"POCO 180 (matches June) but Game preset sets 100, Movie 60, Ambient 40 - 180 is only reached in Custom mode.",0,254,5,niveau Hue (0-254),playground,2-qualite,"Floor-brightness tuning driven by the presets, alive in the Playground; quality dial.",,
AmbientSettings.MinBrightnessEnabled,Deckle.Lighting.Ambient,persisted-setting,`true`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:211,non,June lists MinBrightness but not its enabling switch.,,,,,playground,2-qualite,Enabling switch of the same floor-brightness tuning; travels with MinBrightness in the Playground.,,
AmbientSettings.Mode,Deckle.Lighting.Ambient,persisted-setting,`AmbientMode.Game`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:80,oui,"Enum Game/Movie/Ambient/Custom; setting it applies a whole preset bundle to the other knobs, and touching any tuning knob flips it to Custom. Not a plain choice descriptor.",,,,,"settings,playground",3-personnalisation,Game/Movie/Ambient preset choice is exactly the one-sentence-explainable trade-off; personalization wins even though it applies a tuning bundle.,,
AmbientSettings.SaturationBoost,Deckle.Lighting.Ambient,persisted-setting,`1.0`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:205,oui,"POCO 1.0 vs Game preset 1.3. Also: the class-level comment says OKLCh, the property comment says HSV-S - the actual colour space is not settled by this file. Slider is graduated in percent (0-200, step 10) and mapped /100 to the stored ratio.",0,200,10,%,playground,2-qualite,"Colour-saturation calibration under the preset system, alive in the Playground.",,
AmbientSettings.SelectedMonitorDeviceName,Deckle.Lighting.Ambient,persisted-setting,`null`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:63,non,Absent from the June inventory. Bespoke like CaptureSettings.AudioInputDeviceId: values come from a runtime monitor enumeration; null = follow primary.,,,,,settings,3-personnalisation,Which monitor to capture; runtime-enumerated device selection like the audio input device.,,
AmbientSettings.SmoothingAlpha,Deckle.Lighting.Ambient,persisted-setting,`0.30`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:259,oui,POCO 0.30 vs Game preset 0.40.,0.05,1.0,0.05,ratio,playground,2-qualite,"Smoothing coefficient, textbook quality tuning alive in the Playground.",,
AmbientSettings.UseMultiLight,Deckle.Lighting.Ambient,persisted-setting,`false`,src/Deckle.Lighting.Ambient/AmbientSettings.cs:103,oui,,,,,,playground,3-personnalisation,One colour for all lamps vs per-lamp zones is a one-sentence-explainable trade-off tied to the user's lamp setup; personalization wins the tie-break.,,
BrightnessCurveCanvas.HandleSize,Deckle.Lighting.Ambient,tuning-constant,`24.0`,src/Deckle.Lighting.Ambient/Ui/Controls/BrightnessCurveCanvas.xaml.cs:18,non,"Hit-target size of the bezier handles; accessibility-relevant but not a setting. Drop candidate. Sibling HandleRadius (line 19, = HandleSize/2) was skipped by the sweep as a computed value.",,,,px,aucune,5-playground,"Rendering constant of the Playground curve-editor control, no life outside it.",,
BrightnessCurveCanvas.PlotPadding,Deckle.Lighting.Ambient,tuning-constant,`6.0`,src/Deckle.Lighting.Ambient/Ui/Controls/BrightnessCurveCanvas.xaml.cs:17,non,Pure layout constant of the curve editor; drop candidate.,,,,px,aucune,5-playground,Layout constant of the same Playground editor control.,,
BrightnessCurveCanvas.SampleCount,Deckle.Lighting.Ambient,tuning-constant,`80`,src/Deckle.Lighting.Ambient/Ui/Controls/BrightnessCurveCanvas.xaml.cs:16,non,Curve-editor rendering resolution. Almost certainly a false positive (pure UI implementation); kept per the in-doubt rule.,,,,count,aucune,5-playground,Rendering resolution of the Playground curve editor; pure instrumentation UI.,,
LightZoneSuggester.NeutralDeadband,Deckle.Lighting.Ambient,tuning-constant,`0.15`,src/Deckle.Lighting.Ambient/Engine/LightZoneSuggester.cs:35,non,"Shapes the zone auto-suggestion the user sees when assigning lamps - perceivable through a wrong suggestion, but odd to expose.",,,,ratio,aucune,2-qualite,"Heuristic calibration shaping the zone auto-suggestion; quality tuning, odd to expose.",,
DefaultBaseUrl,Deckle.Llm,tuning-constant,"""http://localhost:11434""",src/Deckle.Llm/OllamaService.cs:160,non,"Fallback used only when the persisted endpoint is unparseable or its scheme is rejected. June lists the persisted LlmSettings.OllamaEndpoint = http://localhost:11434/api/generate (Deckle.Llm.Rewrite) — same host, different path shape.",,,,,aucune,1-robustesse,Internal fallback used only when the persisted endpoint is unparseable; the real endpoint choice lives in LlmSettings.OllamaEndpoint.,,
AnchorGapDip,Deckle.Llm.Rewrite,tuning-constant,8,src/Deckle.Llm.Rewrite/Ui/RewriteOfferWindow.xaml.cs:20,non,,,,,dip,aucune,2-qualite,"Offer-window layout constant; visual polish, frozen design value.",,
AutoRewriteRule.MinDurationSeconds,Deckle.Llm.Rewrite,persisted-setting,0,src/Deckle.Llm.Rewrite/LlmSettings.cs:34,oui,"Kind fixed: default-value -> persisted-setting. Legacy shape retained for deserialization, no longer evaluated.",,,,s,aucune,1-robustesse,"Legacy shape kept only for deserialization compatibility, never evaluated; frozen internal.",,
AutoRewriteRule.ProfileId,Deckle.Llm.Rewrite,persisted-setting,"""""",src/Deckle.Llm.Rewrite/LlmSettings.cs:39,oui,"Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy deserialization-only field; frozen compatibility shim.,,
AutoRewriteRule.ProfileName,Deckle.Llm.Rewrite,persisted-setting,"""""",src/Deckle.Llm.Rewrite/LlmSettings.cs:40,oui,"Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy deserialization-only field; frozen compatibility shim.,,
AutoRewriteRuleByWords.MinWordCount,Deckle.Llm.Rewrite,persisted-setting,0,src/Deckle.Llm.Rewrite/LlmSettings.cs:47,oui,"Legacy, deserialization only.",,,,words,aucune,1-robustesse,Legacy deserialization-only field; frozen compatibility shim.,,
AutoRewriteRuleByWords.ProfileId,Deckle.Llm.Rewrite,persisted-setting,"""""",src/Deckle.Llm.Rewrite/LlmSettings.cs:48,oui,"Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy deserialization-only field; frozen compatibility shim.,,
AutoRewriteRuleByWords.ProfileName,Deckle.Llm.Rewrite,persisted-setting,"""""",src/Deckle.Llm.Rewrite/LlmSettings.cs:49,oui,"Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy deserialization-only field; frozen compatibility shim.,,
Capacity,Deckle.Llm.Rewrite,tuning-constant,4096,src/Deckle.Llm.Rewrite/Interaction/ParagraphDraft.cs:10,non,Max observed draft length before invalidation; perceivable on very long paragraphs.,,,,chars,aucune,1-robustesse,"Internal draft buffer size bounding observed paragraph length; a robustness cap, not a tuning knob.",,
CtxKSteps,Deckle.Llm.Rewrite,tuning-constant,"{1,2,4,8,16,32,64,128,256}",src/Deckle.Llm.Rewrite/Ui/ProfileViewModel.cs:14,non,Discrete ladder the NumCtxK slider snaps to; bounds what the user can pick.,,,,K tokens,settings,3-personnalisation,Discrete ladder backing the NumCtxK settings slider; it defines the bounds of a personalization control already surfaced in Settings.,,
CurlyApostrophe,Deckle.Llm.Rewrite,tuning-constant,'’',src/Deckle.Llm.Rewrite/Gate/GateToken.cs:44,non,"DROP-candidate: tokenizer character-class literal, tunes nothing. Sibling Apostrophe (line 43) likewise. Kept flagged.",,,,,aucune,2-qualite,"Tokenizer character-class literal in the diff gate; frozen linguistic quality constant, tunes nothing.",,
Deadline,Deckle.Llm.Rewrite,tuning-constant,TimeSpan.FromSeconds(3),src/Deckle.Llm.Rewrite/Engine/ParagraphRewrite.cs:30,non,Interactive offer budget; user-perceivable (offer appears or not).,,,,s,aucune,1-robustesse,"ParagraphRewrite.cs:30 interactive offer timeout; an internal deadline bound, frozen by default.",,
Deadline,Deckle.Llm.Rewrite,tuning-constant,TimeSpan.FromSeconds(5),src/Deckle.Llm.Rewrite/Engine/SentenceRewrite.cs:11,non,,,,,s,aucune,1-robustesse,SentenceRewrite.cs:11 timeout budget for the sentence proposal; internal deadline bound.,,
DefaultNumCtxK,Deckle.Llm.Rewrite,default-value,2,src/Deckle.Llm.Rewrite/Ui/ProfileViewModel.cs:16,non,Kind fixed -> default-value. CONFLICT: seeded profiles ship 8/16/16.,,,,K tokens,aucune,2-qualite,"ViewModel fallback default for an inference-tuning parameter; the user-facing knob is RewriteProfile.NumCtxK, this default stays frozen in code.",,
DefaultTemperature,Deckle.Llm.Rewrite,default-value,0.5,src/Deckle.Llm.Rewrite/Ui/ProfileViewModel.cs:15,non,Kind fixed -> default-value (VM fallback when POCO is null). CONFLICT: seeded profiles ship 0.30.,,,,,aucune,2-qualite,"ViewModel fallback default for sampling temperature; inference-tuning default frozen in code, distinct from the exposed profile field.",,
DeleteModelTimeout,Deckle.Llm.Rewrite,tuning-constant,TimeSpan.FromSeconds(30),src/Deckle.Llm.Rewrite/Ui/LlmModelsSection.xaml.cs:132,non,"MISSED BY SWEEP (inline literal, not a named field). Name coined here for the inventory.",,,,s,aucune,1-robustesse,Timeout bounding the Ollama model-delete admin call; pure robustness bound.,,
FormDistanceCap,Deckle.Llm.Rewrite,tuning-constant,3,src/Deckle.Llm.Rewrite/Gate/RewriteDiffGate.cs:27,non,"Source comment explicitly: the gate's only knobs, code-level, never exposed as settings.",,,,count,aucune,2-qualite,"Diff-gate acceptance threshold; source comment declares gate knobs code-level and never exposed — quality tuning, frozen.",,
FormDistancePercent,Deckle.Llm.Rewrite,tuning-constant,25,src/Deckle.Llm.Rewrite/Gate/RewriteDiffGate.cs:34,non,Same; tightened from 34 % on the 2026-07-19 eval.,,,,%,aucune,2-qualite,Diff-gate threshold calibrated by the 2026-07-19 eval; quality tuning frozen by doctrine.,,
HeightDip,Deckle.Llm.Rewrite,tuning-constant,280,src/Deckle.Llm.Rewrite/Ui/RewriteOfferWindow.xaml.cs:19,non,,,,,dip,aucune,2-qualite,Offer-window geometry; frozen visual design constant.,,
HttpClient.Timeout,Deckle.Llm.Rewrite,tuning-constant,Timeout.InfiniteTimeSpan,src/Deckle.Llm.Rewrite/Engine/OllamaEngine.cs:34,non,MISSED BY SWEEP. Deliberate disabling of the 100 s default; caller token is the only deadline.,,,,s,aucune,1-robustesse,Deliberate disabling of the HttpClient default timeout so the caller token is the sole deadline; internal robustness decision.,,
KeepAlive,Deckle.Llm.Rewrite,tuning-constant,"""2m""",src/Deckle.Llm.Rewrite/Engine/ParagraphRewrite.cs:40,non,VRAM residency hint; perceivable as warm/cold latency.,,,,min,aucune,2-qualite,"ParagraphRewrite.cs:40 VRAM residency hint tuning warm/cold latency; inference tuning, frozen in code.",,
KeepAlive,Deckle.Llm.Rewrite,tuning-constant,"""2m""",src/Deckle.Llm.Rewrite/Engine/SentenceRewrite.cs:14,non,,,,,min,aucune,2-qualite,SentenceRewrite.cs:14 same residency hint pair; moves with its paragraph sibling.,,
Label,Deckle.Llm.Rewrite,tuning-constant,"""paragraph""",src/Deckle.Llm.Rewrite/Engine/ParagraphRewrite.cs:21,non,"Observability label only. Borderline false positive, kept per doubt rule.",,,,,aucune,4-diagnostics,"ParagraphRewrite.cs:21 observability label only; log/telemetry naming, diagnostics territory.",,
Label,Deckle.Llm.Rewrite,tuning-constant,"""sentence_correction_proposal""",src/Deckle.Llm.Rewrite/Engine/SentenceRewrite.cs:9,non,Observability label only; same borderline call.,,,,,aucune,4-diagnostics,SentenceRewrite.cs:9 observability label only; diagnostics naming.,,
LlmSettings.AutoRewriteRules,Deckle.Llm.Rewrite,persisted-setting,"[600s->Arrangement, 300s->Affinage, 60s->Lissage]",src/Deckle.Llm.Rewrite/LlmSettings.cs:248,oui,"MISSED BY SWEEP (multi-line). Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy collection retained for deserialization only; frozen compatibility shim.,,
LlmSettings.AutoRewriteRulesByWords,Deckle.Llm.Rewrite,persisted-setting,"[1200->Arrangement, 600->Affinage, 150->Lissage]",src/Deckle.Llm.Rewrite/LlmSettings.cs:254,oui,"MISSED BY SWEEP (multi-line). Legacy, deserialization only.",,,,,aucune,1-robustesse,Legacy collection retained for deserialization only; frozen compatibility shim.,,
LlmSettings.Enabled,Deckle.Llm.Rewrite,persisted-setting,true,src/Deckle.Llm.Rewrite/LlmSettings.cs:54,oui,,,,,,settings,3-personnalisation,"Module on/off behavior toggle, a legitimate per-user choice already surfaced in Settings.",,
LlmSettings.OllamaEndpoint,Deckle.Llm.Rewrite,persisted-setting,"""http://localhost:11434/api/generate""",src/Deckle.Llm.Rewrite/LlmSettings.cs:55,oui,,,,,,settings,3-personnalisation,"Local endpoint address, explicitly a personalization category (local endpoints); varies with each user's Ollama setup.",,
LlmSettings.PrimaryRewriteProfileId,Deckle.Llm.Rewrite,persisted-setting,null,src/Deckle.Llm.Rewrite/LlmSettings.cs:70,oui,Stable companion id filled by migrations; not directly edited.,,,,,aucune,3-personnalisation,"Backing id of the primary profile selection, filled by migration; plumbing of a personalization choice, not independently exposed.",,
LlmSettings.PrimaryRewriteProfileName,Deckle.Llm.Rewrite,persisted-setting,null,src/Deckle.Llm.Rewrite/LlmSettings.cs:61,oui,Bespoke runtime-dependent ComboBox; Shift+Win+backtick.,,,,,settings,3-personnalisation,User's choice of which profile the primary hotkey fires; behavior/hotkey personalization already in Settings.,,
LlmSettings.Profiles,Deckle.Llm.Rewrite,persisted-setting,"3 seeded profiles Lissage/Affinage/Arrangement, Model="""", Temperature 0.30, NumCtxK 8/16/16, tuned French SystemPrompts",src/Deckle.Llm.Rewrite/LlmSettings.cs:83,oui,"MISSED BY SWEEP entirely (multi-line collection initializer). June lists it bespoke. The three shipped SystemPrompts are themselves substantial exposables, restored by Reset Profiles. June lists it bespoke.",,,,,settings,3-personnalisation,"The seeded, user-editable rewrite profile collection; the core personalization surface of the module.",,
LlmSettings.RuleMetric,Deckle.Llm.Rewrite,persisted-setting,"""Duration""",src/Deckle.Llm.Rewrite/LlmSettings.cs:251,oui,Verified at line 251. June gap #10 flags it as driving sibling-panel visibility; source comment marks it legacy.,,,,,aucune,1-robustesse,"Marked legacy in source; kept for deserialization and residual panel plumbing, frozen.",,
LlmSettings.SecondaryRewriteProfileId,Deckle.Llm.Rewrite,persisted-setting,null,src/Deckle.Llm.Rewrite/LlmSettings.cs:71,oui,Same.,,,,,aucune,3-personnalisation,Backing id of the secondary profile selection; plumbing of a personalization choice.,,
LlmSettings.SecondaryRewriteProfileName,Deckle.Llm.Rewrite,persisted-setting,null,src/Deckle.Llm.Rewrite/LlmSettings.cs:65,oui,Bespoke; Ctrl+Win+backtick.,,,,,settings,3-personnalisation,User's choice of which profile the secondary hotkey fires; personalization already in Settings.,,
MaxFillerPhraseLength,Deckle.Llm.Rewrite,derived-value,ComputeMaxPhraseLength(),src/Deckle.Llm.Rewrite/Gate/GateLexicon.cs:88,non,"Kind fixed: computed property, not a constant. Real frozen data is the lexicon tables (_functionWords:21, _fillers:46, _fillerPhrases:54, _insertablePunctuation:69), excluded by sweep design.",,,,count,aucune,2-qualite,"Derived from the frozen gate lexicon tables; linguistic quality data, not a knob.",,
Model,Deckle.Llm.Rewrite,tuning-constant,"""ministral-3:14b""",src/Deckle.Llm.Rewrite/Engine/ParagraphRewrite.cs:26,non,"Hardcoded model for the interactive paragraph retaille, distinct from the user-facing RewriteProfile.Model.",,,,,aucune,3-personnalisation,"ParagraphRewrite.cs:26 hardcoded model for the interactive retaille; model choice is explainable in one sentence (bigger = better, slower), so the tie-break resolves to personalization even though it is frozen today.",,
Model,Deckle.Llm.Rewrite,tuning-constant,"ParagraphRewrite.Model (= ""ministral-3:14b"")",src/Deckle.Llm.Rewrite/Engine/SentenceRewrite.cs:10,non,"Alias, not an independent knob.",,,,,aucune,3-personnalisation,"SentenceRewrite.cs:10 alias of ParagraphRewrite.Model, not an independent knob; follows its canonical site's classification.",,
NoneSentinel,Deckle.Llm.Rewrite,tuning-constant,"""(None)""",src/Deckle.Llm.Rewrite/Ui/LlmShortcutSlotsSection.xaml.cs:25,non,"UI wording sentinel, stored as null. Wording exposable, not a tuning knob.",,,,,settings,2-qualite,"UI wording sentinel for an empty shortcut slot; interface copy, a design/quality matter, not a knob.",,
NumCtx,Deckle.Llm.Rewrite,tuning-constant,4096,src/Deckle.Llm.Rewrite/Engine/ParagraphRewrite.cs:35,non,,,,,tokens,aucune,2-qualite,ParagraphRewrite.cs:35 context window for the hardcoded interactive path; inference tuning frozen in code.,,
NumCtx,Deckle.Llm.Rewrite,tuning-constant,2048,src/Deckle.Llm.Rewrite/Engine/SentenceRewrite.cs:13,non,,,,,tokens,aucune,2-qualite,SentenceRewrite.cs:13 same frozen inference-tuning constant for the sentence path.,,
OllamaAdminTimeout,Deckle.Llm.Rewrite,tuning-constant,TimeSpan.FromSeconds(5),src/Deckle.Llm.Rewrite/Ui/LlmPage.xaml.cs:39,non,Bounds Ollama admin calls (list/show) so the Settings page cannot freeze.,,,,s,aucune,1-robustesse,Timeout keeping the Settings page from freezing on Ollama admin calls; robustness bound.,,
POLL_INTERVAL,Deckle.Llm.Rewrite,tuning-constant,TimeSpan.FromSeconds(60),src/Deckle.Llm.Rewrite/Engine/OllamaEngine.cs:37,non,MISSED BY SWEEP. /api/ps busy-probe cadence.,,,,s,aucune,1-robustesse,/api/ps busy-probe internal cadence; frozen robustness cadence (and a polling loop the doctrine dislikes anyway).,,
